factor_id,sim_type,tau_date,alarm_date,delay_days,early,weak_before,weak_after,weak_days
F000,step0,2019-05-01,2020-02-20,211,0,0.0,0.2527283170591614,440
F001,half,2019-09-16,2020-10-16,284,0,0.0,0.07912355447352404,130
F002,steady,,2024-09-12,,0,0.006345177664974619,,15
F003,never,,2016-12-09,,0,0.32529610829103217,,769
F004,step0,2021-11-02,2020-07-07,-345,1,0.09005481597494126,0.29898804047838085,440
F005,regime,2020-01-03,2018-02-06,-498,1,0.0475,0.1707161125319693,305
F006,steady,,2016-12-09,,0,0.050338409475465314,,119
F007,steady,,2018-07-26,,0,0.03426395939086294,,81
F008,step0,2021-03-05,2019-07-11,-431,1,0.02262443438914027,0.09531374106433678,145
F009,steady,,,,0,0.0,,0
F010,steady,,2020-09-22,,0,0.024957698815566837,,59
F011,steady,,2018-04-30,,0,0.17428087986463622,,412
F012,step0,2019-07-26,2019-05-21,-48,1,0.027737226277372264,0.18522930315664085,330
F013,steady,,2016-12-09,,0,0.07952622673434856,,188
F014,steady,,2019-04-04,,0,0.2609983079526227,,617
F015,half,2018-01-01,2020-05-05,611,0,0.0,0.09865900383141762,206
F016,half,2018-05-15,2020-04-24,508,0,0.0,0.009538152610441768,19
F017,step0,2019-09-20,2017-09-06,-532,1,0.12,0.5381330079316656,969
F018,half,2021-09-20,2019-10-22,-499,1,0.13643659711075443,0.057245080500894455,234
F019,steady,,2018-01-09,,0,0.12521150592216582,,296
F020,steady,,2018-10-23,,0,0.05626057529610829,,133
F021,steady,,2020-11-24,,0,0.009306260575296108,,22
F022,regime,2017-05-15,2018-10-12,369,0,0.0,0.14336440301819794,323
F023,steady,,2020-09-11,,0,0.024957698815566837,,59
F024,never,,2016-12-09,,0,0.288917089678511,,683
F025,step0,2021-01-01,2021-03-10,48,0,0.0,0.4647239263803681,606
F026,steady,,2020-03-11,,0,0.14720812182741116,,348
F027,never,,2016-12-12,,0,0.20769881556683586,,491
F028,half,2019-07-11,2018-11-22,-165,1,0.23293768545994065,0.20532544378698225,504
F029,steady,,2017-09-25,,0,0.015228426395939087,,36
F030,step0,2020-08-28,2023-02-20,646,0,0.0,0.09684361549497848,135
F031,half,2021-06-02,2018-12-06,-649,1,0.0,0.01254180602006689,15
F032,regime,2020-02-26,2018-08-08,-405,1,0.20286396181384247,0.014416775884665793,192
F033,steady,,2016-12-09,,0,0.18104906937394247,,428
F034,half,2018-07-18,2017-07-25,-256,1,0.3444976076555024,0.024152106885919837,191
F035,regime,2017-06-14,2018-03-22,201,0,0.0,0.20528910802330794,458
F036,never,,2016-12-09,,0,0.34348561759729274,,812
F037,step0,2020-01-20,2017-05-17,-698,1,0.035758323057953144,0.1468126207340631,257
F038,steady,,2018-02-22,,0,0.04568527918781726,,108
F039,step0,2018-05-29,2016-12-09,-382,1,0.468586387434555,0.24924318869828457,673
F040,never,,2017-06-26,,0,0.21996615905245348,,520
F041,steady,,2022-01-26,,0,0.005922165820642978,,14
F042,step0,2018-12-20,2017-07-21,-369,1,0.0,0.36239782016348776,665
F043,half,2021-04-05,2022-08-15,355,0,0.0,0.061389337641357025,76
F044,steady,,2017-09-22,,0,0.09602368866328258,,227
F045,never,,2017-01-26,,0,0.27115059221658205,,641
F046,half,2018-09-06,2018-07-24,-32,1,0.024229074889867842,0.2031413612565445,399
F047,steady,,2025-04-02,,0,0.08375634517766498,,198
F048,never,,2016-12-09,,0,0.18358714043993232,,434
F049,never,,2016-12-09,,0,0.4420473773265651,,1045
F050,never,,2016-12-14,,0,0.2707275803722504,,640
F051,never,,2016-12-20,,0,0.217005076142132,,513
F052,half,2020-12-14,2020-03-12,-197,1,0.13097514340344169,0.030349013657056147,177
F053,step0,2021-11-10,2021-01-20,-210,1,0.003897116134060795,0.22201665124884365,245
F054,steady,,2019-01-10,,0,0.028764805414551606,,68
F055,half,2019-12-27,2018-10-05,-320,1,0.20628930817610064,0.1561504142766093,409
F056,steady,,2016-12-09,,0,0.01311336717428088,,31
F057,regime,2019-10-14,2018-12-03,-225,1,0.0,0.15650030807147258,254
F058,steady,,2019-04-22,,0,0.05922165820642978,,140
F059,steady,,2019-08-27,,0,0.06514382402707276,,154
F060,steady,,2019-06-17,,0,0.04272419627749577,,101
F061,step0,2021-10-19,2016-12-14,-1264,1,0.05367008681925809,0.27347310847766637,368
F062,never,,2017-07-05,,0,0.2732656514382403,,646
F063,steady,,2022-08-18,,0,0.0,,0
F064,half,2020-02-18,2020-01-20,-21,1,0.030048076923076924,0.19451697127937337,323
F065,regime,2019-05-30,2018-07-03,-237,1,0.21428571428571427,0.2441860465116279,558
F066,steady,,2019-03-22,,0,0.13409475465313028,,317
F067,steady,,2021-05-18,,0,0.10913705583756345,,258
F068,steady,,,,0,0.0,,0
F069,step0,2020-02-24,2020-02-13,-7,1,0.0035885167464114833,0.5988219895287958,918
F070,half,2018-11-06,2020-07-07,435,0,0.0,0.07927155865024103,148
F071,steady,,2017-09-28,,0,0.20854483925549916,,493
F072,never,,2016-12-09,,0,0.3544839255499154,,838
F073,regime,2017-08-08,2017-02-27,-116,1,0.0,0.11313868613138686,248
F074,steady,,2016-12-09,,0,0.1527072758037225,,361
F075,step0,2020-04-29,2020-03-06,-38,1,0.022650056625141562,0.3524645509790682,542
F076,step0,2021-06-22,2017-08-14,-1006,1,0.15736040609137056,0.4272419627749577,691
F077,steady,,2019-02-27,,0,0.04483925549915398,,106
F078,never,,2016-12-09,,0,0.28214890016920474,,667
F079,half,2019-03-04,2016-12-09,-581,1,0.1359724612736661,0.0538418395961862,175
F080,steady,,2019-04-08,,0,0.06260575296108291,,148
F081,half,2018-09-26,2019-02-27,110,0,0.0,0.13818565400843882,262
F082,steady,,2017-11-23,,0,0.04230118443316413,,100
F083,half,2019-10-21,2023-09-14,1018,0,0.0,0.07849196538936959,127
F084,never,,2016-12-09,,0,0.20093062605752962,,475
F085,regime,2019-05-22,2017-07-07,-488,1,0.2554858934169279,0.03302433371958285,220
F086,steady,,2020-02-14,,0,0.12351945854483926,,292
F087,regime,2018-07-31,2018-09-25,40,0,0.0,0.19514713474445017,378
F088,regime,2019-11-15,2021-05-10,386,0,0.0,0.0450281425891182,72
F089,steady,,2017-08-10,,0,0.2428087986463621,,574
F090,never,,2016-12-09,,0,0.39890016920473775,,943
F091,half,2018-10-05,2018-10-11,4,0,0.0,0.2440444679724722,461
F092,half,2018-04-12,2016-12-23,-339,1,0.14040114613180515,0.18759305210918115,427
F093,steady,,2017-08-08,,0,0.028764805414551606,,68
F094,half,2020-02-11,2018-11-19,-321,1,0.19830713422007254,0.08132726089785296,289
F095,half,2018-09-06,2017-10-16,-233,1,0.16519823788546256,0.18848167539267016,435
F096,steady,,2019-12-05,,0,0.018189509306260575,,43
F097,steady,,2016-12-09,,0,0.24534686971235195,,580
F098,steady,,2018-08-16,,0,0.05626057529610829,,133
F099,steady,,,,0,0.006345177664974619,,15
