fid,kind,ir,tau,t_cut,h,weak_before,weak_after,hot_before,hot_after,weak_long_before,weak_long_after,t_delay,c_delay
F000,step0,0.7250430943441446,1127,-1.0098390086598497,30.579360876195956,0.0,0.12808730614589317,0.0,0.6157380815623205,0,194,323,370
F001,half,0.7657167045286476,1225,-0.9711502706523504,30.16962306191931,0.0,0.00852099817407182,0.0,0.07181984175289105,0,11,1301,1445
F002,steady,1.0120097485831725,-1,-0.7352802315609827,27.71048322585632,0.002961082910321489,,0.0,,7,0,-999,-999
F003,never,0.0,-1,-1.2239,32.8464,0.14509306260575297,,0.428087986463621,,86,0,-999,-999
F004,step0,1.1795845412902004,1781,-0.5536123987872937,26.328879332424684,0.09866875489428348,0.3311867525298988,0.2192638997650744,1.0,86,175,26,0
F005,regime,0.6304882785374841,1304,-1.099779549455145,31.531887179669095,0.0025,0.13427109974424553,0.0,0.5313299232736572,1,188,730,653
F006,steady,1.2449882930055451,-1,-0.4827081915526885,25.789645020657183,0.05203045685279188,,0.11632825719120135,,123,0,-999,-999
F007,steady,1.0747071478112131,-1,-0.6673099810578638,27.19356197844089,0.030879864636209814,,0.04145516074450085,,36,0,-999,-999
F008,step0,0.9596867185547444,1609,-0.786645993310727,28.215607934623215,0.00904977375565611,0.06433677521842732,0.0009049773755656109,0.03494837172359015,10,55,238,316
F009,steady,1.1860573241390984,-1,-0.5465952549008035,26.275513179670376,0.0,,0.0,,0,0,-999,-999
F010,steady,0.6553810790421583,-1,-1.076101517615099,31.281122085945107,0.00042301184433164127,,0.0,,1,0,-999,-999
F011,steady,0.6803944090951332,-1,-1.0523088380687093,31.02914280165745,0.03934010152284264,,0.5359560067681896,,72,0,-999,-999
F012,step0,0.7161293455502267,1189,-1.0183177665126244,30.669156198796127,0.0,0.10303752233472305,0.0,0.38892197736748063,0,97,101,103
F013,steady,0.7166689106502393,-1,-1.0178045321894924,30.663720727891622,0.032148900169204735,,0.10194585448392555,,37,0,-999,-999
F014,steady,0.6147263656404777,-1,-1.1147722810027776,31.690669537810958,0.15355329949238578,,0.6535532994923858,,149,0,-999,-999
F015,half,0.8821463120378333,780,-0.860402427989613,28.996734481793276,0.0,0.04310344827586207,0.0,0.3773946360153257,0,52,617,616
F016,half,0.9902249780816306,876,-0.757598000848753,27.90797161580127,0.0,0.0035140562248995983,0.0,0.006024096385542169,0,5,617,577
F017,step0,0.6231152732784265,1229,-1.1067927520575607,31.60616136004779,0.027586206896551724,0.3075045759609518,0.08413793103448276,0.8895668090298963,19,144,250,167
F018,half,0.7378854512376942,1750,-0.9976233587827052,30.449989541321717,0.040930979133226325,0.025044722719141325,0.2784911717495987,0.10912343470483005,26,11,521,0
F019,steady,0.4922002143792214,-1,-1.2239,32.8464,0.04991539763113367,,0.2787648054145516,,98,0,-999,-999
F020,steady,1.011684645932169,-1,-0.7356326753449357,27.713163599683046,0.03341793570219966,,0.15693739424703892,,25,0,-999,-999
F021,steady,0.485336025780033,-1,-1.2239,32.8464,0.0,,0.0,,0,0,-999,-999
F022,regime,0.6100595610919229,615,-1.1192113454893629,31.73768199347219,0.0,0.014647137150466045,0.0,0.0039946737683089215,0,11,400,1929
F023,steady,0.9281208372794112,-1,-0.8166714595798241,28.53359630941467,0.011421319796954314,,0.0,,21,0,-999,-999
F024,never,0.0,-1,-1.2239,32.8464,0.077834179357022,,0.07318104906937395,,67,0,-999,-999
F025,step0,0.8496248293679239,1564,-0.8913368623052307,29.32434939391341,0.0,0.3473926380368098,0.0,0.7783742331288344,0,169,41,67
F026,steady,0.5786384608938328,-1,-1.1490990959977863,32.05421187264771,0.04060913705583756,,0.023265651438240272,,32,0,-999,-999
F027,never,0.0,-1,-1.2239,32.8464,0.10786802030456853,,0.22927241962774958,,131,0,-999,-999
F028,half,0.6474109904748379,1178,-1.0836826658603342,31.361411164154582,0.11275964391691394,0.06272189349112427,0.004451038575667656,0.8195266272189349,33,39,228,72
F029,steady,0.8577756481569881,-1,-0.8835838034730729,29.24223967559613,0.0025380710659898475,,0.0,,6,0,-999,-999
F030,step0,1.0512530768995882,1474,-0.6927365393331564,27.386933756885966,0.0,0.08106169296987087,0.0,0.18436154949784792,0,60,369,912
F031,half,0.9353309228867044,1672,-0.8098132261501667,28.460963349023917,0.0,0.0,0.0,0.0,0,0,-1673,-1673
F032,regime,0.7813857610661599,1342,-0.9562458640738687,30.01177612017172,0.12052505966587113,0.0,0.36754176610978523,0.1107470511140236,49,0,-1343,0
F033,steady,0.6836499010940466,-1,-1.049212214079343,30.996347626358794,0.12859560067681894,,0.2800338409475465,,183,0,-999,-999
F034,half,0.8190569173228008,922,-0.9204130602425518,29.63228442627357,0.2799043062200957,0.01695786228160329,0.19138755980861244,0.018499486125385406,56,33,1898,1901
F035,regime,0.8511229569808043,637,-0.889911843319859,29.309257555966774,0.0,0.16181084715374272,0.0,0.8009861048857014,0,147,496,370
F036,never,0.0,-1,-1.2239,32.8464,0.13071065989847716,,0.3350253807106599,,64,0,-999,-999
F037,step0,0.6391720580510615,1315,-1.0915195383818304,31.44440852160522,0.0,0.0231809401159047,0.0,0.12556342562781714,0,17,515,82
F038,steady,0.7203723921290923,-1,-1.0142817806068074,30.626412596169953,0.00972927241962775,,0.11802030456852793,,23,0,-999,-999
F039,step0,1.0971387823861778,886,-0.6429918460151447,27.00861988086068,0.44502617801047123,0.24066599394550958,1.0,1.0,55,128,247,0
F040,never,0.0,-1,-1.2239,32.8464,0.09517766497461928,,0.07106598984771574,,173,0,-999,-999
F041,steady,1.020682203288023,-1,-0.7258784234154543,27.638981438551237,0.004230118443316413,,0.00042301184433164127,,4,0,-999,-999
F042,step0,1.1400709360522,1033,-0.59644909822581,26.65465715353043,0.0,0.3689373297002725,0.035916824196597356,0.964032697547684,0,305,30,28
F043,half,1.1445963779292443,1630,-0.5915430666869063,26.61734624288676,0.0,0.06704361873990307,0.0,0.3869143780290792,0,43,368,355
F044,steady,0.5791465683354536,-1,-1.1486157841993165,32.04909329990231,0.028341793570219966,,0.16116751269035534,,62,0,-999,-999
F045,never,0.0,-1,-1.2239,32.8464,0.09517766497461928,,0.18189509306260576,,140,0,-999,-999
F046,half,0.6486541185362955,958,-1.0825002024482757,31.34888814068907,0.0,0.10628272251308901,0.0,0.8418848167539267,0,151,390,175
F047,steady,0.9463644184467522,-1,-0.7993181651734492,28.349814121451107,0.07656514382402707,,0.0676818950930626,,122,0,-999,-999
F048,never,0.0,-1,-1.2239,32.8464,0.021996615905245348,,0.6670896785109983,,12,0,-999,-999
F049,never,0.0,-1,-1.2239,32.8464,0.18612521150592218,,0.9018612521150592,,111,0,-999,-999
F050,never,0.0,-1,-1.2239,32.8464,0.05372250423011844,,0.2305414551607445,,32,0,-999,-999
F051,never,0.0,-1,-1.2239,32.8464,0.14974619289340102,,0.7102368866328257,,152,0,-999,-999
F052,half,1.0588362521367545,1550,-0.6845156190585444,27.3244127520081,0.12906309751434034,0.027314112291350532,0.14722753346080306,0.48103186646433993,117,25,0,0
F053,step0,1.1687689743771918,1787,-0.5653375548776863,26.418050436952367,0.009353078721745909,0.2294172062904718,0.06936866718628215,0.45790934320074006,4,209,583,586
F054,steady,1.0618405766154282,-1,-0.6812586308912143,27.29964299797878,0.023688663282571912,,0.08121827411167512,,18,0,-999,-999
F055,half,0.8703379706731647,1299,-0.8716345222956858,29.115689351032675,0.1421383647798742,0.09496494582536648,0.06540880503144654,0.2307202039515615,95,89,806,1
F056,steady,1.1606290382458144,-1,-0.5741620596377126,26.485161768374734,0.015228426395939087,,0.032148900169204735,,16,0,-999,-999
F057,regime,0.7616314335200861,1245,-0.9750361804356941,30.21077726500536,0.0,0.07208872458410351,0.0,0.23721503388786197,0,115,210,157
F058,steady,1.0498078287062365,-1,-0.694303332899569,27.398849394665692,0.05710659898477157,,0.13663282571912014,,116,0,-999,-999
F059,steady,0.9938632655183742,-1,-0.7541372618389224,27.871320235821003,0.047377326565143825,,0.20642978003384094,,44,0,-999,-999
F060,steady,0.6674073771233141,-1,-1.0646621028803036,31.15997156433516,0.00676818950930626,,0.0,,11,0,-999,-999
F061,step0,0.8464721736147105,1771,-0.8943356684576873,29.35610861744013,0.011049723756906077,0.22789425706472197,0.056827150749802685,0.3691886964448496,11,241,464,287
F062,never,0.0,-1,-1.2239,32.8464,0.03722504230118443,,0.12478849407783418,,35,0,-999,-999
F063,steady,1.0027773875931292,-1,-0.7452890341102886,27.78660127251093,0.0,,0.0,,0,0,-999,-999
F064,half,1.0105473088139956,1336,-0.7368656625147474,27.72254060302125,0.02283653846153846,0.17428198433420367,0.0,0.856396866840731,7,182,3,3
F065,regime,0.5650742503929872,1148,-1.1620013730261907,32.190855016391126,0.13198757763975155,0.09651162790697675,0.059006211180124224,0.4703488372093023,84,142,1075,22
