factor_id,sim_type,ir_start,tau_index,tau_date,lambda,sigma_e
F000,step0,0.7250430943441446,1127,2019-05-01,0.6019384839978075,0.005117115535779307
F001,half,0.7657167045286476,1225,2019-09-16,0.7801151877578265,0.004078820780921384
F002,steady,1.0120097485831723,-1,,0.7356740126942437,0.00428095018499575
F003,never,0.0,-1,,0.9398882798085528,0.005052897447328
F004,step0,1.1795845412902004,1781,2021-11-02,0.4230890982429679,0.0037504155690584206
F005,regime,0.6304882785374841,1304,2020-01-03,0.775211468701185,0.006484712789747698
F006,steady,1.2449882930055451,-1,,0.770376671925371,0.0061359551220536565
F007,steady,1.0747071478112133,-1,,0.6713854828380141,0.004898332202729933
F008,step0,0.9596867185547443,1609,2021-03-05,1.070078516741874,0.004506636698893899
F009,steady,1.1860573241390984,-1,,0.9384543227581832,0.006191165059289256
F010,steady,0.6553810790421583,-1,,1.4846282237256805,0.004652085846186836
F011,steady,0.6803944090951332,-1,,1.03201627876653,0.005874555588083482
F012,step0,0.7161293455502267,1189,2019-07-26,0.973197029071897,0.0035427057540932468
F013,steady,0.7166689106502393,-1,,0.5777587518218237,0.004701095820022492
F014,steady,0.6147263656404777,-1,,0.9559822479386293,0.004784253672988681
F015,half,0.8821463120378333,780,2018-01-01,0.8445568407743704,0.005516404337209649
F016,half,0.9902249780816306,876,2018-05-15,0.8175438186726689,0.005254207848937149
F017,step0,0.6231152732784265,1229,2019-09-20,0.832299178339498,0.005023445264915561
F018,half,0.7378854512376942,1750,2021-09-20,0.9382708361195666,0.006370716480015924
F019,steady,0.4922002143792214,-1,,0.4504165663768422,0.0037576840161827893
F020,steady,1.0116846459321687,-1,,0.7140740152510282,0.004073805559958924
F021,steady,0.48533602578003304,-1,,0.5379716527477116,0.003866268596282615
F022,regime,0.6100595610919229,615,2017-05-15,0.9311516046759707,0.0057096016267662334
F023,steady,0.9281208372794111,-1,,0.9044835012055732,0.0037678265743521255
F024,never,0.0,-1,,1.0228238982630715,0.003794165677617545
F025,step0,0.8496248293679239,1564,2021-01-01,0.6550743967858101,0.00422710483938174
F026,steady,0.5786384608938328,-1,,0.5866244543090522,0.005375520018312673
F027,never,0.0,-1,,0.3712152801731244,0.0053607578583676554
F028,half,0.6474109904748379,1178,2019-07-11,1.0304902988167923,0.005492496514028425
F029,steady,0.8577756481569881,-1,,0.608635113242564,0.005006868657051555
F030,step0,1.0512530768995882,1474,2020-08-28,1.2213719123780742,0.004021095557726843
